id,accuracy,mean_max_conf,dominant_class,group,selected
JPEGImages/2011_000953.jpg SegmentationClass/2011_000953.png,88.94954051395254,0.9517120718955994,0,majority,False
JPEGImages/2007_007165.jpg SegmentationClass/2007_007165.png,96.69905344908341,0.9229323863983154,0,majority,False
JPEGImages/2007_001587.jpg SegmentationClass/2007_001587.png,99.53193074518569,0.9980645775794983,0,majority,True
JPEGImages/2008_006219.jpg SegmentationClass/2008_006219.png,99.55186547090176,0.9948427081108093,0,majority,True
JPEGImages/2008_004396.jpg SegmentationClass/2008_004396.png,95.36719093027706,0.9730718731880188,0,majority,False
JPEGImages/2008_003141.jpg SegmentationClass/2008_003141.png,98.64968326253764,0.9818587303161621,0,majority,True
JPEGImages/2007_009084.jpg SegmentationClass/2007_009084.png,91.72057537002101,0.9639708399772644,0,majority,False
JPEGImages/2007_006449.jpg SegmentationClass/2007_006449.png,71.57530935808198,0.979476809501648,0,majority,True
JPEGImages/2011_002124.jpg SegmentationClass/2011_002124.png,93.77835884026763,0.9882934093475342,0,majority,True
JPEGImages/2010_003468.jpg SegmentationClass/2010_003468.png,98.15358226304896,0.9863436818122864,0,majority,True
JPEGImages/2007_005547.jpg SegmentationClass/2007_005547.png,95.19500253250042,0.9691267013549805,0,majority,False
JPEGImages/2010_005245.jpg SegmentationClass/2010_005245.png,99.41914446777938,0.9950993657112122,0,majority,True
JPEGImages/2009_003904.jpg SegmentationClass/2009_003904.png,99.70190223635426,0.9947966933250427,0,majority,True
JPEGImages/2007_002119.jpg SegmentationClass/2007_002119.png,96.53107637389527,0.9823685884475708,0,majority,False
JPEGImages/2007_001884.jpg SegmentationClass/2007_001884.png,96.3004428931294,0.982728123664856,0,majority,False
JPEGImages/2007_005857.jpg SegmentationClass/2007_005857.png,97.65499500106719,0.979659378528595,0,majority,False
JPEGImages/2008_002942.jpg SegmentationClass/2008_002942.png,87.9143613391689,0.9645439386367798,15,majority,False
JPEGImages/2008_003709.jpg SegmentationClass/2008_003709.png,99.5638238315831,0.9955336451530457,0,majority,True
JPEGImages/2010_001752.jpg SegmentationClass/2010_001752.png,99.32362525601593,0.9812443852424622,0,majority,False
JPEGImages/2010_005705.jpg SegmentationClass/2010_005705.png,98.50852581669494,0.9909152984619141,0,majority,False
JPEGImages/2007_001677.jpg SegmentationClass/2007_001677.png,86.78931124106563,0.9581834077835083,0,majority,False
JPEGImages/2010_004120.jpg SegmentationClass/2010_004120.png,99.36908690869087,0.9922220706939697,0,majority,True
JPEGImages/2008_001821.jpg SegmentationClass/2008_001821.png,99.23106664996651,0.9953377842903137,0,majority,True
JPEGImages/2011_001292.jpg SegmentationClass/2011_001292.png,99.37272702414481,0.9950686693191528,0,majority,True
JPEGImages/2011_003103.jpg SegmentationClass/2011_003103.png,95.56949336999169,0.9711023569107056,0,majority,True
JPEGImages/2009_003849.jpg SegmentationClass/2009_003849.png,98.30485573539761,0.9862459301948547,0,majority,True
JPEGImages/2008_003034.jpg SegmentationClass/2008_003034.png,90.55160449887016,0.9561446309089661,0,majority,False
JPEGImages/2009_004994.jpg SegmentationClass/2009_004994.png,98.70471161151312,0.9566695094108582,0,majority,False
JPEGImages/2010_005180.jpg SegmentationClass/2010_005180.png,95.22320128560489,0.957291841506958,0,majority,False
JPEGImages/2008_006341.jpg SegmentationClass/2008_006341.png,96.92064285119494,0.9782933592796326,0,majority,True
JPEGImages/2007_000529.jpg SegmentationClass/2007_000529.png,98.3863175834351,0.9898487329483032,0,majority,True
JPEGImages/2008_000107.jpg SegmentationClass/2008_000107.png,79.57168662542021,0.9418877363204956,0,majority,False
JPEGImages/2009_003928.jpg SegmentationClass/2009_003928.png,96.75966574046338,0.9846848249435425,0,majority,True
JPEGImages/2009_000931.jpg SegmentationClass/2009_000931.png,99.7882103776915,0.9968275427818298,0,majority,True
JPEGImages/2011_002675.jpg SegmentationClass/2011_002675.png,97.457788883683,0.9742738604545593,0,majority,False
JPEGImages/2007_009911.jpg SegmentationClass/2007_009911.png,99.74989664095877,0.9970047473907471,0,majority,True
JPEGImages/2008_002835.jpg SegmentationClass/2008_002835.png,97.36459693111007,0.9799537062644958,0,majority,False
JPEGImages/2009_000839.jpg SegmentationClass/2009_000839.png,98.65288083465128,0.9833797812461853,12,majority,False
JPEGImages/2011_003145.jpg SegmentationClass/2011_003145.png,98.71150492325357,0.9883334040641785,0,majority,True
JPEGImages/2007_005844.jpg SegmentationClass/2007_005844.png,84.94233183540814,0.9177407622337341,0,majority,False
JPEGImages/2009_002562.jpg SegmentationClass/2009_002562.png,96.9637111777452,0.9703832268714905,20,minority,False
JPEGImages/2007_006076.jpg SegmentationClass/2007_006076.png,97.5335067672144,0.9908138513565063,0,majority,False
JPEGImages/2009_001816.jpg SegmentationClass/2009_001816.png,98.37455712651466,0.9924445152282715,0,majority,True
JPEGImages/2009_001108.jpg SegmentationClass/2009_001108.png,99.92669064661267,0.9985295534133911,0,majority,True
JPEGImages/2010_005719.jpg SegmentationClass/2010_005719.png,99.46785141916601,0.9938800930976868,0,majority,True
JPEGImages/2008_005544.jpg SegmentationClass/2008_005544.png,98.27204277608031,0.9760515093803406,0,majority,False
JPEGImages/2007_002719.jpg SegmentationClass/2007_002719.png,84.88315674260632,0.9300395846366882,0,majority,False
JPEGImages/2010_000083.jpg SegmentationClass/2010_000083.png,99.14229107958111,0.9955039024353027,0,majority,True
JPEGImages/2010_003183.jpg SegmentationClass/2010_003183.png,99.7097678142514,0.9930038452148438,0,majority,True
